"ID","First Name","Last Name","Title","Email","Phone","Company","Website","Industry","Company Size","Location","Country","Rating","Reviews","Address","Website Quality Score","Opportunity Score","Status","Source","LinkedIn","Notes","Created At"
"81","","","","","(480) 867-4607","Your Gilbert Electrician - Electrical Service & Repairs","www.yourgilbertelectrician.com","Home Services","1-10","1001 S Cheshire Ln, Gilbert, AZ 85296, USA","US","5","40","1001 S Cheshire Ln, Gilbert, AZ 85296, USA","","0","new","google_places","","Description: Your Gilbert Electrician offers comprehensive electrical service and repairs for residential and commercial clients, focusing on reliable installations, upgrades, and troubleshooting in the Gilbert, AZ area. Services: Electrical repairs, new installations, panel upgrades, lighting installation & repair, ceiling fan installation, outlet & switch services, wiring, troubleshooting, safety inspections, home remodels electrical, commercial electrical services. Specialties: Licensed, bonded, and insured electrical services; prompt and reliable service; comprehensive solutions for both residential and commercial electrical needs; local expertise in Gilbert, AZ. Target Market: Homeowners and businesses in Gilbert, AZ, and surrounding East Valley communities. Description: Your Gilbert Electrician is a local, family-owned electrical contractor offering comprehensive residential and commercial electrical services in Gilbert, AZ, and surrounding areas. Services: Electrical panel upgrades, wiring, lighting installation, ceiling fan installation, outlet & switch repair/installation, EV charger installation, smart home integration, troubleshooting & repairs, surge protection, commercial tenant improvements, new construction electrical. Specialties: Residential and commercial electrical repairs and installations, electrical panel upgrades, EV charger installations, smart home integration, licensed, bonded, and insured service. Target Market: Homeowners and businesses in Gilbert, AZ, and surrounding communities.","2026-02-28T07:47:04.000Z"
"82","","","","douglas@dweinc.us","(480) 489-4006","Douglas Wright Electric","www.dweinc.us","Home Services","11-50","3653 E Flower St, Gilbert, AZ 85298, USA","US","5","65","3653 E Flower St, Gilbert, AZ 85298, USA","","0","new","google_places","","Description: Douglas Wright Electric, Inc. is a full-service electrical contractor based in Arizona, offering comprehensive residential and commercial electrical services since 1993. Services: Residential electrical services (new construction, remodels, troubleshooting, panel upgrades, lighting, EV chargers, home automation wiring), Commercial electrical services (new construction, tenant improvements, system upgrades, lighting solutions, data/communication wiring, generator installation). Specialties: Full-service electrical contractor for both residential and commercial sectors, licensed, bonded, and insured, with expertise in new installations, remodels, repairs, and upgrades including modern solutions like EV charger installation. Target Market: Residential homeowners and commercial businesses throughout Arizona. Description: Douglas Wright Electric Inc. is a family-owned and operated electrical contractor based in Gilbert, AZ. They provide comprehensive electrical services for residential, commercial, and industrial clients. Services: Residential electrical services (service upgrades, lighting installation, troubleshooting, EV charger installation, smart home integration), Commercial electrical services (tenant improvements, new construction, lighting maintenance, electrical panel upgrades), Industrial electrical services (machine wiring, control panel installation, motor controls, high voltage work). Specialties: Family-owned and operated, over 20 years of experience, comprehensive electrical solutions for residential, commercial, and industrial sectors, expertise in areas like smart home integration and high-voltage industrial work. Target Market: Residential homeowners, commercial businesses, and industrial facilities in Gilbert, AZ, and surrounding areas.","2026-02-28T07:47:04.000Z"
"83","","","","casey@fireflyelectricaz.com","(480) 329-8483","Firefly Electric and Solar","fireflyelectricaz.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp","Home Services","11-50","300 N Pasadena St # 102, Gilbert, AZ 85233, USA","US","4.9","210","300 N Pasadena St # 102, Gilbert, AZ 85233, USA","","0","new","google_places","","Description: Firefly Electric and Solar is a family-owned and operated company based in Gilbert, AZ, providing comprehensive electrical and solar solutions for residential and commercial clients across the Phoenix Valley. Services: Residential electrical services, Commercial electrical services, Electrical panel upgrades, EV charger installation, Lighting installation, Outlet and switch services, Wiring and rewiring, Electrical troubleshooting and repair, Whole home surge protection, Generator installation and repair, Solar panel installation, Solar panel repair, Battery storage solutions. Specialties: Family-owned and operated, Master Electrician owner, Licensed/bonded/insured, Comprehensive electrical and solar services, Focus on integrity and customer service. Target Market: Residential and commercial clients in the Phoenix Valley, Arizona. Description: Firefly Electric and Solar is a locally owned and operated company providing comprehensive electrical and solar services to residential and commercial clients in Gilbert, AZ and the surrounding East Valley. Services: Residential Electrical Services, Commercial Electrical Services, Solar Panel Installation, Electrical Panel Upgrades, EV Charger Installation, Home Rewiring, Lighting Installation, Electrical Troubleshooting and Repairs Specialties: Licensed and insured electricians, locally owned and operated, comprehensive electrical and solar solutions, strong focus on customer satisfaction and safety Target Market: Residential and commercial clients in Gilbert, AZ and the surrounding East Valley cities","2026-02-28T07:47:04.000Z"
"84","","","","info@dodgeelectric.com","(480) 210-6058","Dodge Electric","dodgeelectric.com/?utm_campaign=gmb","Home Services","1-10","3215 N Arizona Ave Suite B12, Chandler, AZ 85225, USA","US","4.9","324","3215 N Arizona Ave Suite B12, Chandler, AZ 85225, USA","","0","new","google_places","","Description: Dodge Electric is a family-owned electrical contractor in Chandler, AZ, offering comprehensive residential and commercial electrical services, including installations, repairs, and upgrades, across the greater Phoenix Metro Area. Services: Residential electrical services (e.g., panel upgrades, lighting, EV chargers, smart home, troubleshooting), Commercial electrical services (e.g., lighting, panel upgrades, wiring, safety inspections, generators). Specialties: Licensed, bonded, and insured; family-owned and operated; experienced master electricians; upfront pricing; satisfaction guarantee; emergency services; serves both residential and commercial sectors. Target Market: Residential homeowners and commercial businesses in the Phoenix Metro Area, including Chandler, Gilbert, Mesa, Tempe, and Scottsdale. Description: Dodge Electric is a family-owned and operated electrical contractor based in Chandler, AZ, providing comprehensive residential and commercial electrical services across the greater Phoenix metropolitan area. Services: Electrical Repair, Panel Upgrades, Lighting Installation, Wiring, EV Charger Installation, Smart Home Installation, Generator Installation, Outlets & Switches, Data & Communication Wiring, New Construction Wiring. Specialties: Residential and Commercial Electrical Expertise, EV Charger Installation, Smart Home Integration, Generator Services, Licensed, Bonded & Insured. Target Market: Residential homeowners and commercial businesses in Chandler, AZ, and surrounding Phoenix metropolitan areas.","2026-02-28T07:47:04.000Z"
"85","","","","service@myazelectrician.com","(623) 363-5648","My AZ Electrician LLC","myazelectrician.com","Home Services","1-10","7558 W Thunderbird Rd Suite 1-421, Peoria, AZ 85381, USA","US","4.9","374","7558 W Thunderbird Rd Suite 1-421, Peoria, AZ 85381, USA","","0","new","google_places","","Description: My AZ Electrician LLC is a family-owned and operated electrical contractor based in Peoria, AZ, providing comprehensive residential and commercial electrical services across the greater Phoenix area. Services: Residential electrical services (electrical panel upgrades, lighting installation, EV charger installation, wiring upgrades, troubleshooting, safety inspections) and commercial electrical services (lighting solutions, electrical panel upgrades, wiring, generator installation, data wiring, safety inspections). Specialties: Family-owned and operated, comprehensive residential and commercial electrical solutions, electrical panel upgrades, EV charger installation, serving the greater Phoenix area. Target Market: Homeowners and businesses in Peoria, Glendale, Surprise, Sun City, and the greater Phoenix metropolitan area. Description: My AZ Electrician LLC is a family-owned and operated electrical service company providing comprehensive residential and commercial electrical solutions in Peoria, AZ and the Phoenix West Valley. Services: Residential electrical services (panel upgrades, wiring, lighting, EV charger installation, smart home devices, safety inspections), commercial electrical services (lighting, maintenance, tenant improvements), and 24/7 emergency electrical services. Specialties: 24/7 emergency services, licensed, bonded, and insured, family-owned and operated, EV charger installation, smart home device integration. Target Market: Homeowners and businesses in Peoria, Glendale, Surprise, Sun City, and the Phoenix West Valley.","2026-02-28T07:47:04.000Z"
"86","","","","office@thewireguyelectric.com","(602) 769-7892","The Wire Guy Electric","thewireguyelectric.com","Home Services","1-10","1321 N 65th St, Mesa, AZ 85205, USA","US","5","375","1321 N 65th St, Mesa, AZ 85205, USA","","0","new","google_places","","Description: The Wire Guy Electric is a veteran-owned and operated full-service electrical contractor based in Mesa, AZ, providing residential and commercial electrical services. Services: Electrical Panel Upgrades, Electrical Service & Repair, Lighting Installation, Ceiling Fan Installation, Outlet & Switch Installation, Wiring, Whole Home Surge Protection, EV Charger Installation, Electrical Safety Inspections Specialties: Veteran-owned and operated, licensed, bonded, and insured, full-service residential and commercial electrical contractor Target Market: Residential and commercial clients in Mesa, AZ, and surrounding areas Description: The Wire Guy Electric is a family-owned and operated electrical contractor providing licensed, bonded, and insured residential and commercial electrical services in Mesa, AZ, with a focus on quality and customer satisfaction. Services: Residential electrical installations and repairs, commercial electrical services, electrical panel upgrades, lighting solutions, EV charger installation, and 24/7 emergency electrical services. Specialties: Licensed, bonded, and insured, family-owned and operated, over 20 years of experience, 24/7 emergency services, and comprehensive residential and commercial electrical expertise. Target Market: Homeowners and businesses primarily in Mesa, AZ, and the surrounding East Valley area.","2026-02-28T07:47:04.000Z"
"87","","","","anthony@electriciansmesaaz.com","(480) 434-0777","Dolce Electric Co","electriciansmesaaz.com","Home Services","1-10","625 W Southern Ave #E239, Mesa, AZ 85210, USA","US","4.9","282","625 W Southern Ave #E239, Mesa, AZ 85210, USA","","0","new","google_places","","Description: Dolce Electric Co is a family-owned and operated electrical contractor providing comprehensive residential and commercial electrical services in Mesa, AZ, and surrounding areas since 1999. Services: Electrical repairs, new wiring, lighting installation, electrical panel upgrades, EV charger installation, surge protection, generator installation, and 24/7 emergency services. Specialties: 24/7 emergency service, licensed, bonded & insured, upfront pricing, satisfaction guaranteed, family-owned & operated. Target Market: Residential and commercial clients in Mesa, AZ, and surrounding communities. Description: Dolce Electric Co is a family-owned and operated residential electrical service company based in Mesa, AZ, providing a full range of electrical repairs, installations, and upgrades for homeowners. Services: Electrical repairs, electrical installations, electrical upgrades, electrical safety inspections, lighting installation, panel upgrades, circuit installation, ceiling fan installation, EV charger installation, GFCI outlets, smart home device setup, emergency electrical services. Specialties: Family-owned and operated, fully licensed and insured, expert residential electricians, upfront pricing, same-day electrical repairs, emergency services. Target Market: Homeowners in Mesa, Gilbert, Chandler, Tempe, Scottsdale, Apache Junction, Queen Creek, San Tan Valley, and surrounding East Valley areas of Arizona.","2026-02-28T07:47:04.000Z"
"88","","","","","(480) 798-3357","Blue State Electric LLC","www.bluestateelectric.com","Home Services","11-50","3400 N Arizona Ave #108, Chandler, AZ 85225, USA","US","5","171","3400 N Arizona Ave #108, Chandler, AZ 85225, USA","","0","new","google_places","","Description: Blue State Electric LLC is a family-owned and operated electrical contractor based in Chandler, AZ, providing comprehensive residential and commercial electrical services. Services: Electrical repairs, new construction wiring, panel upgrades, lighting installation, outlet & switch installation, ceiling fan installation, troubleshooting, smart home integration, EV charger installation, generator installation, electrical system design & installation, tenant improvement, lighting solutions, electrical maintenance, data & communication wiring, emergency lighting, surge protection, energy efficiency upgrades. Specialties: Licensed, bonded, and insured services; family-owned and operated; expertise in EV charger installation, smart home integration, and generator services for both residential and commercial clients. Target Market: Residential and commercial clients in Chandler, AZ, and surrounding areas. Description: Blue State Electric LLC is a locally owned and operated electrical contractor based in Chandler, AZ, providing comprehensive residential and commercial electrical services across the Phoenix-Metro area. Services: Electrical repairs, electrical panel upgrades, outlet & switch installation, lighting installation (recessed, LED, landscape), ceiling fan installation, whole home surge protection, EV charger installation, smart home integration, smoke detector installation, generator installation, wiring & rewiring, data & communication wiring, emergency lighting, signage lighting. Specialties: Licensed, bonded, and insured; expertise in EV charger installation, smart home integration, whole home surge protection, and data & communication wiring; local service with a focus on customer satisfaction. Target Market: Residential and commercial clients in the Phoenix-Metro area, Arizona.","2026-02-28T07:47:04.000Z"
"89","","","","mark.sowers@mrelectric.com","(480) 448-9332","Mr. Electric of Mesa, Gilbert & Chandler","mrelectric.com/mesa-gilbert-chandler?cid=LSTL_MRE000196&utm_source=gmb&utm_campaign=local&utm_medium=organic","Home Services","11-50","1235 S Gilbert Rd #21, Mesa, AZ 85204, USA","US","5","53","1235 S Gilbert Rd #21, Mesa, AZ 85204, USA","","0","new","google_places","","Description: Mr. Electric of Mesa, Gilbert & Chandler provides comprehensive residential and commercial electrical services, including repairs, installations, and upgrades, ensuring safe and efficient electrical systems. Services: Residential electrical services, commercial electrical services, electrical repairs, installations, upgrades, lighting solutions, panel upgrades, EV charger installation, surge protection, smart home services, wiring, and emergency electrical services. Specialties: Professionally trained and licensed electricians, upfront flat-rate pricing, guaranteed workmanship, 24/7 emergency services, and local ownership backed by a national brand. Target Market: Homeowners and businesses in Mesa, Gilbert, Chandler, and surrounding areas of Arizona. Description: Mr. Electric of Mesa, Gilbert & Chandler is a locally owned and operated electrical service provider offering reliable and professional electrical solutions for homes and businesses. Services: Residential electrical repairs and installations, commercial electrical services, lighting solutions, electrical panel upgrades, smart home installations, generator services, EV charger installations, and 24/7 emergency electrical services. Specialties: 24/7 emergency service, licensed and insured electricians, upfront pricing, focus on safety and quality, part of the national Mr. Electric franchise network. Target Market: Homeowners and businesses in Mesa, Gilbert, Chandler, and surrounding areas.","2026-02-28T07:47:04.000Z"
"90","","","","mark.sowers@mrelectric.com","(480) 582-1249","Mr. Electric of Phoenix Metro","mrelectric.com/phoenix-metro/?cid=LSTL_MRE000196&utm_source=gmb&utm_campaign=local&utm_medium=organic","Home Services","11-50","9831 S 51st St #C115, Phoenix, AZ 85044, USA","US","4.9","1245","9831 S 51st St #C115, Phoenix, AZ 85044, USA","","0","new","google_places","","Description: Mr. Electric of Phoenix Metro provides comprehensive residential and commercial electrical repair, installation, and upgrade services. They are a local franchise offering professional, licensed, and insured electricians to the Phoenix Metro area. Services: Residential electrical services (installations, repairs, upgrades, lighting, wiring, outlets, EV charger installation, surge protection, safety inspections), Commercial electrical services (repairs, installations, upgrades, code compliance, lighting solutions, generator installation), 24/7 emergency electrical service. Specialties: 24/7 emergency electrical services, licensed and insured electricians, upfront pricing, guaranteed workmanship, comprehensive residential and commercial solutions. Target Market: Homeowners and businesses in the Phoenix Metro area. Description: Mr. Electric of Phoenix Metro provides comprehensive residential and commercial electrical repair, installation, and upgrade services throughout the Phoenix Metro area. Services: Electrical repair, installation, upgrades, safety inspections, generator installation and repair, lighting solutions, EV charger installation, smart home automation, wiring, surge protection, panel upgrades. Specialties: 24/7 emergency services, upfront pricing, guaranteed workmanship, licensed and insured electricians, expertise in EV chargers and smart home technology. Target Market: Residential homeowners and commercial businesses in the Phoenix Metro area.","2026-02-28T07:47:04.000Z"
